GeneID	MedianGroup0	MedianGroup1	MedianGroup2
hsa-miR-24-3p	4598.0	9687.0	924.0
hsa-miR-25-3p	5864.0	18469.0	396.5
hsa-miR-25-5p	143.0	17.5	0.0
hsa-miR-26a-5p	17892.5	5404.75	1245.5
hsa-miR-26b-5p	24291.0	2477.5	384.5
hsa-miR-27a-3p	218.0	1863.5	431.5
hsa-miR-27b-3p	174.0	1424.0	427.0
hsa-miR-28-3p	802.0	367.5	44.5
hsa-miR-28-5p	121.0	128.5	0.5
hsa-miR-29a-3p	1886.0	1189.0	147.0
hsa-miR-29b-3p	760.0	208.0	0.0
hsa-miR-29c-3p	1404.0	215.5	0.0
hsa-miR-30a-3p	649.0	52.5	12.0
hsa-miR-30a-5p	1591.0	762.0	186.5
hsa-miR-30b-3p	43.0	0.0	0.0
hsa-miR-30b-5p	33.0	88.5	0.0
hsa-miR-30c-1-3p	38.0	0.0	0.0
hsa-miR-30c-5p	91.0	952.0	148.0
hsa-miR-30d-3p	16.0	0.0	0.0
hsa-miR-30d-5p	14533.0	10196.5	1192.0
hsa-miR-30e-3p	1698.0	153.0	0.0
hsa-miR-30e-5p	29628.0	3204.0	140.0
hsa-miR-3138	16.0	0.0	0.0
hsa-miR-3143	84.0	0.0	0.0
hsa-miR-3158-3p	0.0	191.5	0.0
hsa-miR-3173-5p	0.0	153.0	0.0
hsa-miR-3179	12.0	0.0	0.0
hsa-miR-32-3p	96.0	0.0	0.0
hsa-miR-32-5p	33.0	76.0	35.5
hsa-miR-3200-5p	56.0	0.0	0.0
hsa-miR-320a-3p	19977.0	10088.5	3303.5
hsa-miR-320b	1011.0	799.25	346.5
hsa-miR-320c	596.0	454.0	268.0
hsa-miR-320d	362.5	109.5	67.75
hsa-miR-320e	75.0	8.0	2.0
hsa-miR-323b-3p	16.0	0.0	0.0
hsa-miR-324-3p	0.0	63.0	0.0
hsa-miR-324-5p	516.0	0.0	0.0
hsa-miR-328-3p	0.0	88.5	0.0
hsa-miR-335-5p	3307.0	762.0	255.0
hsa-miR-339-3p	386.0	239.0	0.0
hsa-miR-339-5p	14.0	0.0	0.0
hsa-miR-340-3p	0.0	25.0	0.0
hsa-miR-340-5p	296.0	116.0	6.0
hsa-miR-342-3p	1631.0	749.5	136.0
hsa-miR-342-5p	107.0	112.5	0.0
hsa-miR-345-5p	70.0	79.5	0.0
hsa-miR-3605-3p	161.0	51.5	0.0
hsa-miR-3605-5p	64.0	0.0	0.0
hsa-miR-361-3p	0.0	145.0	0.0
hsa-miR-361-5p	676.0	135.5	20.5
hsa-miR-3613-5p	97.0	1462.0	120.0
hsa-miR-3615	426.0	421.5	0.0
hsa-miR-363-3p	96.0	1924.5	83.0
hsa-miR-3679-5p	20.0	0.0	0.0
hsa-miR-369-5p	20.0	0.0	0.0
hsa-miR-374a-5p	49.0	136.0	0.0
hsa-miR-374b-5p	41.0	65.5	0.0
hsa-miR-375-3p	754.0	581.0	63.0
hsa-miR-376a-3p	64.0	0.0	0.0
hsa-miR-376c-3p	18.0	0.0	0.0
