"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Median_Group2","Median_Group0"
"hsa-let-7d-5p",-1.44175018727009,10.8463448124757,-5.17893518986872,7.46780006918166e-07,4.07334549228091e-06,5.59444377133475,10.3194207525671,11.3308704464102
"hsa-miR-101-3p",-1.97299405239948,9.93328007607872,-3.4913071273376,0.000640224872821233,0.00137191044175978,-0.710184896621245,9.5259321826411,10.65308358191
"hsa-miR-106b-3p",-3.25343062623232,6.4710142496905,-4.04772426587729,8.44948903817894e-05,0.000230440610132153,1.15790655711275,0,8.13699290698372
"hsa-miR-106b-5p",-4.27189939422016,6.506138655163,-6.03771146348528,1.2885661315722e-08,1.65672788344997e-07,9.44604355848628,0,7.75725833710984
"hsa-miR-107",-1.61272446416313,9.93907490507391,-2.75612269807053,0.00661410282902004,0.0110235047150334,-2.81618477569898,10.2610164202728,10.7432442330412
"hsa-miR-1180-3p",-3.29408250376984,4.5312053711774,-4.11738133798226,6.46126890916521e-05,0.000184607683119006,1.40728453147499,0,6.33803077912352
"hsa-miR-1246",-2.99010511845062,4.89400917556845,-3.572332271049,0.000483131117766787,0.00108704501497527,-0.452264768408298,0,6.56650207406611
"hsa-miR-1255b-5p",-2.91839599729613,3.23874742661638,-3.79009929399132,0.000221581683485966,0.000561756380668646,0.265091810235821,0,4.2162558810952
"hsa-miR-126-5p",-1.6959655652075,8.81554636960793,-3.09057160337453,0.00240306350775415,0.00436920637773482,-1.91160671075748,9.17100616930765,9.42271412380571
"hsa-miR-128-3p",-2.47052637440617,8.28479334211549,-4.18420785057174,4.98017123210689e-05,0.000148922187794194,1.64964917871863,8.13527799130288,9.14784790711227
"hsa-miR-1294",-2.20297350806651,3.82979891739058,-2.57876316086253,0.0109287931938691,0.0178834797717858,-3.25824304664322,0,4.8690334373989
"hsa-miR-1301-3p",-3.66776361387974,4.41695326780606,-4.93454539654134,2.21128635042473e-06,9.47694150182026e-06,4.56976693412654,0,6.1727496794478
"hsa-miR-1306-5p",-4.06260918349893,5.03730954997632,-5.48377478596436,1.84320264010974e-07,1.38240198008231e-06,6.91880155325756,0,6.90433087918984
"hsa-miR-130a-3p",-3.62287446143128,6.31263332424857,-4.8286969422951,3.50197491176982e-06,1.40078996470793e-05,4.13669789313731,2.30507554355896,7.71433841095411
"hsa-miR-130b-3p",-3.34809298703907,6.45286016502508,-4.71559904618087,5.68254589597458e-06,2.13095471099047e-05,3.68137166127232,3.55035918711912,7.52929414566689
"hsa-miR-140-3p",-1.57027210055979,9.43168433527498,-2.84470498371874,0.00510036408935776,0.00866099562343771,-2.58553341934492,8.85579930948281,10.2381432422588
"hsa-miR-142-5p",-1.7210406756369,12.4029411535782,-8.75701242159506,5.28537854248743e-15,9.51368137647737e-13,23.5041522869386,10.9689123254939,12.7766433202435
"hsa-miR-144-3p",-3.77341486184458,8.68602837725717,-5.39908009457246,2.7321097351722e-07,1.89146058588844e-06,6.54587905508159,8.77780957362016,9.4370324370206
"hsa-miR-151a-3p",-1.05600304522378,10.197660257684,-2.86938778372723,0.00473900266180478,0.00812400456309391,-2.52010668386788,10.0145947433813,10.7628488296191
"hsa-miR-151a-5p",-2.14553910946273,9.63450160302109,-3.25119965197171,0.00143429053996221,0.0028062206216652,-1.445088294239,10.0171505422224,10.3517884749391
"hsa-miR-151b",-2.21471864427704,9.4156276077787,-3.42722764418143,0.000797241089607333,0.00166738555882142,-0.910647349781369,9.75126582604769,10.1042086148953
"hsa-miR-15a-5p",-2.32597629298294,8.1802321870878,-3.32497248461643,0.00112444378336949,0.00224888756673897,-1.22402629019338,9.06028625473451,9.19941654448813
"hsa-miR-15b-3p",-3.09784843893425,4.51386387507725,-4.1808142685785,5.04680747524768e-05,0.000148922187794194,1.63726835113295,0,6.36217993401176
"hsa-miR-15b-5p",-1.62983945634865,10.4046334447704,-3.56516695872494,0.000495403390625734,0.00110089642361274,-0.47527222288288,10.4504407338157,11.0823063752298
"hsa-miR-16-2-3p",-1.90915007270964,8.06105925037364,-2.48336920149112,0.0141739445111435,0.0225779647080163,-3.48496065801818,6.63212659293808,9.56857176290974
"hsa-miR-16-5p",-1.83264143568024,15.7207647900185,-7.90819897152871,6.54847750047194e-13,3.92908650028316e-11,18.8899949592804,13.7589416705855,16.234031174045
"hsa-miR-17-5p",-4.07325795548912,4.9566192691361,-5.58913591515075,1.12393903720752e-07,9.19586484987973e-07,7.3878936103347,0,6.53796726080656
"hsa-miR-181a-2-3p",-2.85615525669199,4.92667072454561,-3.7343942351142,0.000271326516750799,0.000669024287878682,0.0782812375958928,0,6.65080644939533
"hsa-miR-181b-5p",-2.36564418938824,5.52510142672514,-3.02116615340672,0.0029855945234796,0.00527976176222104,-2.10681845562445,5.90543211572481,6.93590724029394
"hsa-miR-182-5p",-3.02232261453395,10.3482357217351,-4.6309288389274,8.12428723518802e-06,2.86739549477224e-05,3.34560403500552,9.48447498414447,11.1429017251583
"hsa-miR-183-5p",-4.28562635520701,9.39408623460249,-6.25428325004183,4.38315086584531e-09,7.17242868956505e-08,10.4728623366559,8.75519846644616,10.1941084169136
"hsa-miR-185-5p",-4.22823895673547,10.0221485999897,-5.66793454025186,7.73591881604574e-08,7.3287651941486e-07,7.74239273637693,9.53007018350302,10.9690321556668
"hsa-miR-186-5p",-2.95630925029399,8.49671820248839,-4.42446101916224,1.90744385087741e-05,6.47811119165913e-05,2.54567658822404,8.0396632711162,9.42658579103637
