ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Median_Group1,Median_Group2
hsa-let-7a-5p,0.233944473295608,15.2576042703766,2.33799782155627,0.020778385933633,0.0301621731294673,-3.97855533496968,15.2340290503832,14.9525360725889
hsa-let-7b-3p,0.108882738588678,4.56382880411378,0.165837149147197,0.868520133399632,0.898469103516861,-6.61901746169924,5.52362129423769,6.02561367172195
hsa-let-7b-5p,0.855583505026397,15.2433779392141,5.46783477576089,1.98547067530851e-07,9.6590465285279e-07,6.77763010524131,15.3779180383369,14.2460516221668
hsa-let-7c-5p,-0.213527830788625,10.0282961147723,-0.843449647889905,0.400390435668662,0.453272191323014,-6.28140608292028,9.93385094045478,10.4077807719324
hsa-let-7d-3p,0.0238721852574386,10.7135109193755,0.0895128042053391,0.928800049107352,0.939236004715299,-6.62866258054973,10.6794873559084,10.9433671258105
hsa-let-7d-5p,1.25067358526322,10.8463448124757,5.42083242182502,2.4703085024967e-07,1.03408262895211e-06,6.56866897864043,11.223429154759,10.3194207525671
hsa-let-7e-5p,-0.267052173543563,8.71824542704596,-0.864193334109136,0.388933856149015,0.443089203207739,-6.26396422159503,8.67919926124982,8.97813489265137
hsa-let-7f-5p,0.317852722106981,14.3291930171517,3.06761074813631,0.00258299522035436,0.00453566673137513,-2.12482494046589,14.3893738792866,13.8679187185652
hsa-let-7g-5p,0.708266400549201,14.0602019254239,5.03950599922394,1.39292214085064e-06,5.334595433045e-06,4.91798454350292,14.1916196474945,13.1988653809214
hsa-let-7i-5p,0.70685388629156,13.8761115861091,3.05920736575055,0.00265190281520928,0.00458983179555453,-2.14870701424696,14.119628553096,13.2170285590802
hsa-miR-100-5p,0.378600541593085,6.53109150492599,0.707297717975631,0.480536438542826,0.530653735814163,-6.38545918955024,6.98465162395348,7.29623019304108
hsa-miR-101-3p,1.68709855111847,9.93328007607872,3.60225353346575,0.000434914072715545,0.000879601495379754,-0.490459302244925,10.6251191257315,9.5259321826411
hsa-miR-103a-3p,0.206393683888463,11.1479588858662,0.810577556248251,0.418959800727701,0.471329775818663,-6.30818655766214,11.3280429214014,11.0312071817623
hsa-miR-106b-3p,4.36351785845519,6.4710142496905,6.55054858527062,9.71251448605848e-10,9.46263818435134e-09,11.8879210169769,8.22517861296157,0
hsa-miR-106b-5p,4.11808483891781,6.506138655163,7.02292729772843,8.19635670281069e-11,1.13488015885071e-09,14.272750444658,8.05936209981152,0
hsa-miR-107,1.12119649379637,9.93907490507391,2.3120203339617,0.0222093571951598,0.0319814743610302,-4.03612150082867,10.4655009402303,10.2610164202728
hsa-miR-10a-5p,-0.793910387727855,11.2883056977274,-5.422318213122,2.4533482922148e-07,1.03408262895211e-06,6.57525650845319,10.9578144131291,11.8565244929776
hsa-miR-10b-5p,-1.08849611392773,11.8971994412719,-6.85933161292363,1.94734678134194e-10,2.39907648757801e-09,13.437487719773,11.4495173613633,12.8751849326789
hsa-miR-1180-3p,2.81995106017238,4.5312053711774,4.25304262488947,3.7971732236741e-05,0.000100513408861962,1.78713338520556,6.57873256669985,0
hsa-miR-122-5p,0.597248118824142,15.5724066609741,2.01762029471219,0.045507980982012,0.0620563377027436,-4.64649739613992,15.7344220471331,15.0975928544236
hsa-miR-1246,2.27737350758556,4.89400917556845,3.28300239331461,0.00129206070946831,0.00242261383025308,-1.49333066321097,6.68580621630125,0
hsa-miR-1255b-5p,2.58674245783586,3.23874742661638,4.05350863963012,8.26433633524945e-05,0.00019319227796687,1.05689230205314,5.35461002332321,0
hsa-miR-125a-5p,-0.531919190909058,10.6729821963317,-2.72446132523611,0.00724734641073124,0.0111497637088173,-3.0527931459097,10.4084943336917,10.9137557868654
hsa-miR-125b-5p,0.404077269676374,8.14795247598719,1.04709383408517,0.296828876661772,0.349210443131497,-6.09207142396865,8.14964373188611,8.72195129480172
hsa-miR-126-3p,-0.553633261036071,12.9238850661172,-5.00661992721834,1.61103151006544e-06,6.0413681627454e-06,4.77947532400447,12.6721640192253,13.1848271426443
hsa-miR-126-5p,1.24951423131642,8.81554636960793,2.7474799469577,0.00678177639431824,0.0105234461291145,-2.99361451286382,9.1943264039007,9.17100616930765
hsa-miR-1260b,2.02343003329143,4.27314107059538,2.95970556514477,0.00360740419561636,0.00601234032602727,-2.42711394170782,5.15715328482199,2.38184621404818
hsa-miR-128-3p,2.33224218688549,8.28479334211549,4.76616361419047,4.58093028483474e-06,1.44007446105149e-05,3.78617071469942,8.97799046045396,8.13527799130288
hsa-miR-1294,1.73923244208319,3.82979891739058,2.45658250870868,0.0152279931629206,0.0228419897443809,-3.70824252700615,5.85101458846414,0
hsa-miR-1301-3p,2.87818445437889,4.41695326780606,4.6723565729595,6.82432152121526e-06,2.08199639630296e-05,3.40817489598089,6.13011446071427,0
hsa-miR-1306-5p,3.88168322041582,5.03730954997632,6.32217043274094,3.11312486502162e-09,2.54710216229042e-08,10.7661370558433,6.84662490384064,0
hsa-miR-130a-3p,2.96173713556784,6.31263332424857,4.76315505434849,4.64023993005481e-06,1.44007446105149e-05,3.77396347387183,7.80956628338222,2.30507554355896
hsa-miR-130b-3p,2.84477970383434,6.45286016502508,4.83458884253413,3.41406893723368e-06,1.15949511075861e-05,4.06529733999788,7.69387152933539,3.55035918711912
hsa-miR-130b-5p,2.03193336189172,2.72411585113711,3.99573321173164,0.000103011763067274,0.000231776466901366,0.850605150735638,4.77660627134875,0
hsa-miR-139-5p,-0.0911518717093243,7.37295307859338,-0.149012422046282,0.881754479618307,0.906947464750259,-6.62163888926023,8.08048805732424,8.35163946778584
